=== RUN   TestBasicAgree2B
Test (2B): basic agreement ...
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 2 | Term: 0 | 0] election timeout! start election
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 4 | Term: 0 | 0] election timeout! start election
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 2 | Term: 1 | 1] doElection 3 - 4, start term 1
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 1 | Term: 0 | 0] election timeout! start election
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 2 | Term: 1 | 1] doElection 3 - 3, start term 1
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 4 | Term: 2 | 1] doElection 3 - 3, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 2 | Term: 1 | 1] doElection 3 - 0, start term 1
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 4 | Term: 2 | 1] doElection 3 - 0, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 4 | Term: 2 | 1] doElection 3 - 2, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 2 | Term: 2 | 0] doElection 3 - 1, start term 1
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 1 | Term: 2 | 1] doElection 3 - 4, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 4 | Term: 2 | 1] doElection 3 - 1, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 1 | Term: 2 | 1] doElection 3 - 0, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 1 | Term: 2 | 1] doElection 3 - 2, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 1 | Term: 2 | 1] doElection 3 - 3, start term 2
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 2 | Term: 2 | 0] vote count: 2, start term: 1
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] become leader
2019/05/22 13:11:44 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] become leader
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] vote count: 4, start term: 2
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] vote count: 4, start term: 2
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] heartbeat daemon leader new loop
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] Send AppendEntries: prevLogIndex: 0, heartbeat
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] heartbeat daemon leader new loop
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] Send AppendEntries: leaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 3 | Term: 2 | 0] AppendEntries: args.LeaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] Send AppendEntries: prevLogIndex: 0, entryIndex last to send: 1
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] Send AppendEntries: prevLogIndex: 0, heartbeat
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] Send AppendEntries: leaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] Send AppendEntries: leaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 0 | Term: 2 | 0] AppendEntries: args.LeaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] Send AppendEntries: prevLogIndex: 0, entryIndex last to send: 1
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] Send AppendEntries: prevLogIndex: 0, heartbeat
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] Send AppendEntries: leaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] Send AppendEntries: leaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 0 | Term: 2 | 0] AppendEntries: args.LeaderCommit = 0
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 1 | Term: 2 | 2] Send AppendEntries: prevLogIndex: 0, entryIndex last to send: 1
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 4 | Term: 2 | 2] Send AppendEntries: prevLogIndex: 0, heartbeat
2019/05/22 13:11:45 [DEBUG] Raft: [Id: 2 | Term: 2 | 0] election timeout! start election
